Movement Restrictions															
															
id	Scale_of_restriction	Country	Border_with	Type_of_restriction	Nature_of_restriction	adm1	adm1_id	adm2	adm2_id	adm3	adm3_id	Date_from	Date_to	Source	Notes
IN1001	International	Ivory Coast	Ebola Infected Areas	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	11/08/2014	26/09/2014	Reuters - Ivory Coast imposes travel restrictions as Ebola fears spread / ABC News - Ivory Coast lifts Ebola flight restrctions	Ivory Coast closed airports to flights to and from Ebola affected areas.
IN1002	International	Senegal	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	21/08/2014	25/09/2014	International SOS - Travel security advisories - Flight bans and closures / World Food Programme - Ebola Outbreak: Logistics Cluster Situation Update 26 September 2014 	Senegal has closed air border to Guinea, Liberia and Sierra Leone. On 25/9/14 humanitarian air-bridge between Dakar, Senegal and three affected countries was opened.
IN1003	International	Zambia	Ebola Infected Areas	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	10/08/2014	n/a	Express - Zambia border controls	Zambia bans nationals from travelling to affected countries and entry of travellers from affected region.
IN1004	International	Chad	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	21/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Chad has suspended all flights from Guinea, Liberia and Sierra Leone.
IN1005	International	Chad	Nigeria	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	21/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Chad has suspended all flights from Nigeria.
IN1006	International	Cameroon	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	18/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Cameroon has suspended all flights to Guinea, Liberia and Sierra Leone.
IN1007	International	Cameroon	Nigeria	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	18/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Cameroon has suspended all flights from Nigeria.
IN1008	International	Cameroon	Senegal	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	18/08/2014	17/09/2014	International SOS - Travel security advisories - Flight bans and closures	Cameroon has lifted ban on travellers from Senegal.
IN1009	International	South Sudan	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	14/08/2014	n/a	South Sudan US Embassy - Travel Advisory Security Message for U.S. Citizens	South Sudan has suspended all flights to and from Guinea, Liberia and Sierra Leone.
IN1010	International	Nambia	Ebola Infected Areas	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	11/09/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Nambia banned entry to travellers from Ebola infected areas.
IN1011	International	Gambia	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	01/09/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Nambia banned entry to travellers from Guinea, Liberia and Sierra Leone in the 21 days prior to travel.
IN1012	International	Gambia	Nigeria	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	01/09/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Nambia banned entry to travellers from Nigeria in the 21 days prior to travel.
IN1013	International	Cape Verde	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	19/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Cape Verde banned entry to travellers from Guinea, Liberia and Sierra Leone for three months.
